Sheng,Swahili Meaning,English Meaning,Example Sentence
Mbogi,Kundi,Crew / Group,Tuko na mbogi kali leo!
Msee,Mzee,Old man / Elder,Huyo msee ni legend.
Dem,Msichana,Girl,Uyo dem ako fiti sana.
Chapaa,Pesa,Money,Leta chapaa tufanye kazi.
Niaje,Habari,What’s up?,"Niaje bro, uko aje?"
Fiti,Nzuri,Good / Fine,Leo niko fiti sana.
Nduthi,Bodaboda,Motorbike,Nimepanda nduthi kuja town.
Kujichocha,Kujisifu,To brag,Ameanza kujichocha na mavitu zake.
Blunder,Kosa,Mistake,Umefanya blunder kubwa leo.
Mbogi Genje,Kundi la vijana,Youth crew,Mbogi Genje wana perform leo.
Rada,Hali,Situation,Rada ni gani msee?
Mchongoano,Utani,Roasting / Banter,Waliingia mchongoano mbaya jana.
Piga luku,Vaa vizuri,Dress sharp,Leo nimepiga luku mbaya.
Kucheki,Kuangalia,To check/look,Cheki vile amevaa.
Kusota,Kupungukiwa,To be broke,"Nimesota, sina ata mbao."
Mbao,Shilingi ishirini,20 shillings,Nipe mbao mbili nibuy maji.
Noma,Shida,Trouble/Serious,Rada ni noma mtaa.
Mboka,Kazi,Work/Job,Nimepata mboka mpya.
Makarao,Polisi,Police,Makarao walikam na majeep.
Kubonga,Kuzungumza,To talk,Walikuwa wanabonga mtaa mzima.
Kushangaza,Kustaajabisha,To surprise,Iyo game imeshangaza kila mtu.
Baze,Mzee / Nyumbani,Base / Home,Niko baze leo chill.
Genge,Kundi,Gang/Crew,Tulikuwa na genge yetu.
Tich,Mwalimu,Teacher,Tich wangu ni mstrict.
Mtoi,Mtoto,Kid,Mtoi huyo ako shule.
Buda,Baba,Dad,Buda alinipigia simu.
Mresh,Mzuri,Beautiful,Uyo dem ako mresh.
Bazu,Boss,Big man,Huyo bazu ndio anacontrol area.
Sambaza,Gawanya,To share,Sambaza hizo sweets kwa kila mtu.
Chopi,Mwanafunzi,Student,Huyo chopi ako bright sana.
Manze,Aisee,Man / Bro,"Manze, hiyo story ni noma."
Ngeta,Kukaba,Mugging,Waliwekwa ngeta tao.
Senti,Pesa,Money / Coins,Sina senti sai.
Mbogi ya Madenge,Kundi la vijana,Crew name,Mbogi ya Madenge ni noma kwa mziki.
Choma,Kufichua,Expose,Usinichome mbele ya watu.
Kanairo,Nairobi,Nairobi city,Kanairo imejaa noma.
Shada,Bangi,Weed,Alipatikana na shada mtaa.
Rada safi,Hali nzuri,All good,"Rada safi bro, niko fiti."
Hustle,Kuhangaika,Work/Struggle,Kila siku niko hustle.
Kudedi,Kufa,To die,Alidedi jana kwa ajali.
Kuflani,Fulani,Someone/specific,Huyo dem ni msee kuflani.
Bila wasi,Hakuna wasiwasi,No worries,"Bila wasi, tutashinda."
Mang’aa,Kuonekana vizuri,Shining/Smart,Leo umevaa mang’aa.
Mbogi tight,Kundi imara,Close crew,Hii ni mbogi tight sana.
Mzing,Msichana mrembo,Fine girl,Uyo ni mzing wa mtaa.
Luku,Mavazi,Outfit/Style,Nimepiga luku kali.
Kuomoka,Kufanikiwa,Make it / Get rich,Ameomoka na biashara yake.
Beshte,Rafiki,Friend,Beshte wangu alinisaidia jana.
Chapaa mzito,Pesa nyingi,Big money,Ameingia na chapaa mzito.
